Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2017,Texas-Mexico Trade,Printed Books,Truck,44 - 49  Wood & Wood Products,Import,194089915,33472.796,73794943.47
2016,Texas-Mexico Trade,Cork and Articles,Truck,44 - 49  Wood & Wood Products,Import,777087,37.536,82752.7814
2023,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Vessel,90 - 97  Miscellaneous,Import,5395621,1464.123,3227841.318
2016,Texas-Mexico Trade,Measuring and Testing Instruments,Other,90 - 97  Miscellaneous,Export,7273566,0,0
2019,Texas-Mexico Trade,Tools of Base Metal,Vessel,72 - 83  Metals,Import,65154,1.145,2524.2948
2020,Texas-Mexico Trade,Edible Vegetables and Roots,Truck,06 - 15  Vegetable Products,Export,95425437,0,0
2016,Texas-Mexico Trade,Lead and Articles,Vessel,72 - 83  Metals,Export,5500,2.617,5769.5021
2021,Texas-Mexico Trade,Miscellaneous Chemical Products,Vessel,28 - 38  Chemicals & Allied Industries,Export,23324044,12280.501,27073892.39
2020,Texas-Mexico Trade,Tanning or Dyeing Extracts,Foreign Trade Zones,28 - 38  Chemicals & Allied Industries,Import,4647,0.484,1067.0382
2018,Texas-Mexico Trade,Zinc and Articles,Rail,72 - 83  Metals,Import,284860300,101279.405,223283049.5
2022,Texas-Mexico Trade,Other Base Metals and Cermets,Truck,72 - 83  Metals,Export,158325007,0,0
2024,Texas-Mexico Trade,Preparations of Cereals and Flour,Vessel,16 - 24  Foodstuffs,Import,1383366,174.635,385004.5852
2013,Texas-Mexico Trade,Articles of Leather and Handbags,Vessel,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,98024,7.19,15851.2492
2018,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,68 - 71  Stone / Glass,Export,329445969,0,0
2020,Texas-Mexico Trade,Sugars and Sugar Confectionery,Truck,16 - 24  Foodstuffs,Import,789606198,466872.842,1029279269
2021,Texas-Mexico Trade,Nickel and Articles,Air,72 - 83  Metals,Export,164342,1.107,2440.5186
2022,Texas-Mexico Trade,Food Residues and Waste,Rail,16 - 24  Foodstuffs,Export,1282134439,0,0
2023,Texas-Mexico Trade,Pharmaceutical Products,Truck,28 - 38  Chemicals & Allied Industries,Export,1261590303,0,0
2024,Texas-Mexico Trade,Printed Books,Other,44 - 49  Wood & Wood Products,Export,1061042,0,0
2018,Texas-Mexico Trade,Iron and Steel,Vessel,72 - 83  Metals,Export,160029419,478777.081,1055523645
2024,Texas-Mexico Trade,Impregnated Fabrics,Vessel,50 - 63  Textiles,Import,82621,11.308,24929.8929
2019,Texas-Mexico Trade,Special Woven Fabrics,Truck,50 - 63  Textiles,Export,132088630,0,0
2018,Texas-Mexico Trade,Aluminum and Articles,Rail,72 - 83  Metals,Import,27726214,12332.399,27188307.99
2021,Texas-Mexico Trade,Mineral Fuels; Oils and Waxes,Pipeline,25 - 27  Mineral Products,Import,9158499138,24025365.83,52966908208
2014,Texas-Mexico Trade,Dairy Products,Vessel,01 - 05  Animal & Animal Products,Import,607376,160.151,353072.8052
2020,Texas-Mexico Trade,Inorganic Chemicals,Rail,28 - 38  Chemicals & Allied Industries,Import,236492242,265477.171,585277454.2
2015,Texas-Mexico Trade,Mineral Fuels; Oils and Waxes,Rail,25 - 27  Mineral Products,Import,104576283,528301.72,1164706873
